,IP,Reliability,Risk,Type,Country,Locale,Coords
9134,116.248.88.177,1,3,Scanning Host,cn,Kunming,"25.0389003754,102.718299866"
9135,72.20.57.238,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9136,72.20.57.240,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9137,72.20.57.237,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9138,72.20.57.235,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9139,72.20.57.234,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9140,72.20.57.233,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9141,72.20.57.232,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9142,72.20.57.231,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9143,72.20.57.230,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9144,72.20.57.164,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9145,72.20.57.227,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9146,72.20.57.226,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9147,72.20.57.225,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9148,72.20.57.224,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9149,72.20.57.223,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9150,72.20.57.222,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9151,72.20.57.221,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9152,72.20.57.216,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9153,72.20.57.215,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9154,72.20.57.212,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9155,72.20.57.211,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9156,72.20.57.214,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9157,72.20.57.213,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9158,72.20.57.208,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9159,72.20.57.207,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9160,72.20.57.210,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9161,72.20.57.209,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9162,72.20.57.206,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9163,72.20.57.205,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
9164,72.20.57.203,4,2,Scanning Host,us,Fullerton,"33.8681983948,-117.929298401"
